country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Bihar,Araria,"Kharahiya Basti, Araria - BSPCB",12-04-2025 09:00,26.146529,87.454184,PM10,20,191,56
India,Bihar,Araria,"Kharahiya Basti, Araria - BSPCB",12-04-2025 09:00,26.146529,87.454184,NO2,6,7,7
India,Bihar,Araria,"Kharahiya Basti, Araria - BSPCB",12-04-2025 09:00,26.146529,87.454184,OZONE,8,19,10
India,Bihar,Arrah,"New DM Office, Arrah - BSPCB",12-04-2025 09:00,25.5626095,84.663264,PM2.5,NA,NA,NA
India,Bihar,Arrah,"New DM Office, Arrah - BSPCB",12-04-2025 09:00,25.5626095,84.663264,PM10,NA,NA,NA
India,Bihar,Arrah,"New DM Office, Arrah - BSPCB",12-04-2025 09:00,25.5626095,84.663264,NH3,NA,NA,NA
India,Bihar,Arrah,"New DM Office, Arrah - BSPCB",12-04-2025 09:00,25.5626095,84.663264,SO2,NA,NA,NA
India,Bihar,Aurangabad,"Gurdeo Nagar, Aurangabad - BSPCB",12-04-2025 09:00,24.75746,84.366208,SO2,9,16,12
India,Bihar,Bettiah,"Kamalnath Nagar, Bettiah - BSPCB",12-04-2025 09:00,26.80365,84.51954,PM10,33,156,69
India,Bihar,Bhagalpur,"DM Office_Kachari Chowk, Bhagalpur - BSPCB",12-04-2025 09:00,25.251013,86.989001,PM10,15,43,28
India,Assam,Guwahati,"Railway Colony, Guwahati - PCBA",12-04-2025 09:00,26.181742,91.78063,CO,29,92,46
India,Assam,Nagaon,"Christianpatty, Nagaon - PCBA",12-04-2025 09:00,26.349082,92.68449,PM2.5,28,82,57
India,Assam,Nagaon,"Christianpatty, Nagaon - PCBA",12-04-2025 09:00,26.349082,92.68449,NO2,5,16,10
India,Assam,Nalbari,"Bata Chowk, Nalbari - PCBA",12-04-2025 09:00,26.446912,91.439057,NH3,1,1,1
India,Assam,Silchar,"Tarapur, Silchar - PCBA",12-04-2025 09:00,24.82827,92.79525,PM2.5,17,39,29
India,Assam,Silchar,"Tarapur, Silchar - PCBA",12-04-2025 09:00,24.82827,92.79525,PM10,47,54,48
India,Assam,Silchar,"Tarapur, Silchar - PCBA",12-04-2025 09:00,24.82827,92.79525,NO2,14,15,14
India,Assam,Silchar,"Tarapur, Silchar - PCBA",12-04-2025 09:00,24.82827,92.79525,CO,20,28,27
India,Assam,Sivasagar,"Girls College, Sivasagar - PCBA",12-04-2025 09:00,26.987634,94.636574,NH3,3,4,4
India,Assam,Sivasagar,"Girls College, Sivasagar - PCBA",12-04-2025 09:00,26.987634,94.636574,CO,16,26,22
India,Bihar,Bhagalpur,"Mayaganj, Bhagalpur - BSPCB",12-04-2025 09:00,25.265194,87.012947,PM2.5,3,147,85
India,Bihar,Bhagalpur,"Mayaganj, Bhagalpur - BSPCB",12-04-2025 09:00,25.265194,87.012947,NH3,2,15,13
India,Bihar,Bihar Sharif,"D M Colony, Bihar Sharif - BSPCB",12-04-2025 09:00,25.204762,85.51496,NO2,NA,NA,NA
India,Bihar,Buxar,"Charitra Van, Buxar - BSPCB",12-04-2025 09:00,25.56752,83.966379,NH3,4,4,4
India,Bihar,Buxar,"Charitra Van, Buxar - BSPCB",12-04-2025 09:00,25.56752,83.966379,SO2,1,8,5
India,Bihar,Chhapra,"Darshan Nagar, Chhapra - BSPCB",12-04-2025 09:00,25.7808257,84.7446768,PM10,28,103,54
India,Bihar,Chhapra,"Darshan Nagar, Chhapra - BSPCB",12-04-2025 09:00,25.7808257,84.7446768,NO2,5,421,68
India,Bihar,Chhapra,"Darshan Nagar, Chhapra - BSPCB",12-04-2025 09:00,25.7808257,84.7446768,NH3,4,10,7
India,Bihar,Chhapra,"Darshan Nagar, Chhapra - BSPCB",12-04-2025 09:00,25.7808257,84.7446768,SO2,NA,NA,NA
India,Andhra_Pradesh,Vijayawada,"Rajiv Nagar, Vijayawada - APPCB",12-04-2025 09:00,16.554731,80.64911,SO2,NA,NA,NA
India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",12-04-2025 09:00,17.72,83.3,PM2.5,32,95,61
India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",12-04-2025 09:00,17.72,83.3,NH3,2,3,3
India,Arunachal_Pradesh,Naharlagun,"Naharlagun, Naharlagun - APSPCB",12-04-2025 09:00,27.103358,93.679645,PM10,38,116,67
India,Arunachal_Pradesh,Naharlagun,"Naharlagun, Naharlagun - APSPCB",12-04-2025 09:00,27.103358,93.679645,OZONE,3,4,4
India,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA",12-04-2025 09:00,26.071318,91.87488,NO2,6,19,12
India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",12-04-2025 09:00,16.5150833,80.5181667,CO,14,143,82
India,Andhra_Pradesh,Anantapur,"Gulzarpet, Anantapur - APPCB",12-04-2025 09:00,14.675886,77.593027,NO2,24,39,31
India,Andhra_Pradesh,Anantapur,"Gulzarpet, Anantapur - APPCB",12-04-2025 09:00,14.675886,77.593027,SO2,NA,NA,NA
India,Andhra_Pradesh,Anantapur,"Gulzarpet, Anantapur - APPCB",12-04-2025 09:00,14.675886,77.593027,OZONE,23,57,34
India,Andhra_Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB",12-04-2025 09:00,14.465052,78.824187,PM2.5,NA,NA,NA
India,Andhra_Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB",12-04-2025 09:00,14.465052,78.824187,NH3,NA,NA,NA
India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",12-04-2025 09:00,16.9872867,81.7363176,PM10,44,87,57
India,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA",12-04-2025 09:00,26.071318,91.87488,CO,26,66,55
India,Assam,Guwahati,"IITG, Guwahati - PCBA",12-04-2025 09:00,26.2028636,91.70046436,NO2,1,5,3
India,Assam,Guwahati,"IITG, Guwahati - PCBA",12-04-2025 09:00,26.2028636,91.70046436,CO,4,16,14
India,Assam,Guwahati,"LGBI Airport, Guwahati - PCBA",12-04-2025 09:00,26.10887,91.589544,OZONE,10,20,13
India,Assam,Guwahati,"Railway Colony, Guwahati - PCBA",12-04-2025 09:00,26.181742,91.78063,PM10,63,192,107
India,Bihar,Gaya,"Kareemganj, Gaya - BSPCB",12-04-2025 09:00,24.792403,84.992416,PM2.5,20,233,87
India,Bihar,Gaya,"Kareemganj, Gaya - BSPCB",12-04-2025 09:00,24.792403,84.992416,CO,13,53,26
India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB",12-04-2025 09:00,25.697189,85.2459,OZONE,10,87,23
India,Bihar,Katihar,"Mirchaibari, Katihar - BSPCB",12-04-2025 09:00,25.560083,87.553265,PM10,NA,NA,NA
India,Bihar,Katihar,"Mirchaibari, Katihar - BSPCB",12-04-2025 09:00,25.560083,87.553265,SO2,14,26,20
India,Bihar,Kishanganj,"SDM Office_Khagra, Kishanganj - BSPCB",12-04-2025 09:00,26.0881305,87.93840336,PM2.5,2,37,11
India,Bihar,Motihari,"Gandak Colony, Motihari - BSPCB",12-04-2025 09:00,26.63086,84.90051,PM10,14,117,58
India,Bihar,Munger,"Town Hall, Munger - BSPCB",12-04-2025 09:00,25.376776,86.471523,OZONE,NA,NA,NA
India,Andhra_Pradesh,Vijayawada,"HB Colony, Vijayawada - APPCB",12-04-2025 09:00,16.536107,80.594233,NO2,NA,NA,NA
India,Andhra_Pradesh,Vijayawada,"Rajiv Gandhi Park, Vijayawada - APPCB",12-04-2025 09:00,16.509717,80.612222,PM2.5,NA,NA,NA
India,Andhra_Pradesh,Vijayawada,"Rajiv Gandhi Park, Vijayawada - APPCB",12-04-2025 09:00,16.509717,80.612222,SO2,NA,NA,NA
India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",12-04-2025 09:00,16.5150833,80.5181667,PM10,44,80,61
India,Chhattisgarh,Korba,"Urja Nagar, Korba - CECB",12-04-2025 09:00,22.348441,82.549611,PM2.5,53,122,80
India,Chhattisgarh,Korba,"Urja Nagar, Korba - CECB",12-04-2025 09:00,22.348441,82.549611,PM10,37,152,70
India,Chhattisgarh,Korba,"Urja Nagar, Korba - CECB",12-04-2025 09:00,22.348441,82.549611,NH3,2,5,3
India,Chhattisgarh,Korba,"Urja Nagar, Korba - CECB",12-04-2025 09:00,22.348441,82.549611,CO,26,46,33
India,Chhattisgarh,Kunjemura,"OP Jindal School, Kunjemura - CECB",12-04-2025 09:00,22.12665,83.483212,NH3,2,2,2
India,Chhattisgarh,Kunjemura,"OP Jindal School, Kunjemura - CECB",12-04-2025 09:00,22.12665,83.483212,SO2,3,8,5
India,Chhattisgarh,Milupara,"Govt. Higher Secondary School, Milupara - CECB",12-04-2025 09:00,22.1910172,83.5197009,PM10,NA,NA,NA
India,Chhattisgarh,Milupara,"Govt. Higher Secondary School, Milupara - CECB",12-04-2025 09:00,22.1910172,83.5197009,NO2,NA,NA,NA
India,Chhattisgarh,Raipur,"AIIMS, Raipur - CECB",12-04-2025 09:00,21.258815,81.578979,PM2.5,2,67,30
India,Chhattisgarh,Raipur,"Bhatagaon New ISBT, Raipur - CECB",12-04-2025 09:00,21.219665,81.630094,NO2,38,201,70
India,Chhattisgarh,Bhilai,"Civic Center, Bhilai - Bhilai Steel Plant",12-04-2025 09:00,21.185571,81.343175,PM2.5,20,47,31
